 B-side                  A-side                     Cat nr     Label
 C.T.A.                  Kelo                       1620       Green Note
 Half Nelson             Goin' to Mintons           951        Savoy
 Enigma                  Tempus Fugit               1618       Green Note
 Half Nelson             Little Willie Leaps        4507       Savoy
 Israel                  Boplicity                  60011      Capitol
 Darn That Dream         Venus Demilo               1221       Capitol
 But Not For Me,Pt2      But Not For Me,Pt1         915        Prestige
 Bluing,Pt2              Bluing,Pt1                 846        Prestige
 Sippin' at Bell's       Milestones                 934        Savoy
 My Old Flame,Pt2        My Old Flame,Pt1           766        Prestige
 Donna                   Well, You Needn't          45-1633    Green Note
 Out Of The Blue,Pt2     Out Of The Blue,Pt1        876        Prestige
 Dear Old Stockholm      Woody'n You                1595       Green Note
 Dig,Pt2                 Dig,Pt1                    777        Prestige
 Chance It               Yesterdays                 1596       Green Note
 Diane                   The Surrey With...         45-248     Prestige
 Donna                   Well, You Needn't          45-1633    Green Note
 It Never Entered...,Pt2 It Never Entered...,Pt1    45-165     Prestige
 Donna                   The Squirrel               1597       Green Note
 Tasty Pudding,Pt2       Tasty Pudding,Pt1          884        Green Note
 'Round Midnight         Airegin                    45-413     Prestige
 I Waited For You        Ray's Idea                 1619       Green Note
 That Old Devil...       Four                       898        Prestige
 It's Only A Paper Moon  Dig                        45-321     Prestige
 Lazy Susan              Tempus Fugit               45-1649    Green Note
 Bluing                  Conception                 868        Prestige
 Godchild                Jeru                       57-60005   Capitol
 —                       Blue Moods, Vol. 1         27         Debut
 Smooch                  My Funny Valentine         45-353     Prestige
 Just Squeeze Me         S'posin'                   45-268     Prestige
 Lazy Susan              Tempus Fugit               45-1649    Green Note
 Miles Ahead             When Lights Are Low        902        Prestige
 Budo                    Move                       15404      Capitol
 That Old Devil Moon     You Don't Know What...     45-376     Prestige
 Blue Room               Morpheus                   734        Prestige
 Blue Haze,Pt2           Blue Haze,Pt1              893        Prestige
 Green Haze,Pt2          Green Haze,Pt1             45-103     Prestige
 Walkin',Pt1             Walkin',Pt1                45-157     Prestige
 When I Fall In Love,Pt2 When I Fall In Love,Pt1    45-195     Prestige
 A Night In Tunisia,Pt2  A Night In Tunisia,Pt1     45-114     Prestige
 If I Were A Bell,Pt2    If I Were A Bell, Pt1      45-123     Prestige
 Lazy Susan              Tempus Fugit               45-1649    Green Note
 —                       Blue Moods, Vol. 2         28         Debut
 Oleo                    Tune Up                    45-395     Prestige
 Weirdo                  The Leap                   45-1650    Green Note
 Whispering              Down                       742        Prestige
